seq,fold,mfe1,mfe2,icshape,binding,rpkm,relatelen,utrrate,predicted_score
0.29854015,0.058978084,0.026982669,0.17026089,0.0,0.39911267,5.598064e-06,0.008089206,0.038030777,-0.2316367
0.2661915,0.08251609,0.09757131,0.075170584,0.0,0.45166028,1.1454193e-05,0.0028040134,0.024074735,0.059929498
0.2630921,0.066251524,0.04257921,0.16885425,0.0,0.40812346,6.0378244e-07,0.0063115526,0.044787277,0.043616675
0.2592012,0.04213423,0.06811303,0.23326305,0.0,0.36285204,2.8504112e-06,0.008322698,0.026110917,0.026849248
0.24980058,0.08468587,0.011642071,0.18382773,0.0,0.44611368,3.807774e-06,0.005963866,0.017962413,0.05930441
0.25376445,0.09614872,0.021427048,0.032970708,0.0,0.55766475,9.144894e-06,0.0075165723,0.030498624,0.07561653
0.23341724,0.057827517,0.06890124,0.2425643,0.0,0.37322468,9.192036e-06,0.005115892,0.018939925,0.042167015
0.23453091,0.08211053,0.033497237,0.04874573,0.0,0.579226,1.4518119e-05,0.006997369,0.014877602,0.072366245
0.18267559,0.11410201,0.035405707,0.0018150458,0.0,0.6263403,6.9385833e-06,0.00595384,0.033700507,0.08315732
0.2569866,0.1145335,0.0739464,0.07844809,0.0,0.4532783,2.1021506e-06,0.0068984767,0.015906628,0.0564142
0.26385766,0.094707884,0.0639111,0.029396124,0.0,0.5189079,3.6589705e-07,0.009657917,0.019561034,0.061119862
0.2447015,0.091655724,0.05550722,0.20846419,0.0,0.3768996,6.9314847e-06,0.0048732306,0.017891599,0.027087398
0.25606373,0.076086834,0.050981138,0.007333325,0.0,0.56566054,1.28162355e-05,0.0054765027,0.038385093,0.0648999
0.26320267,0.0958125,0.032262325,0.19589812,0.0,0.36797264,4.1401518e-06,0.006878244,0.037969414,0.03252884
0.21580821,0.08298418,0.04003861,0.17557634,0.0,0.4363459,7.974971e-06,0.0049619004,0.04427687,-0.058921017
0.2653112,0.041520055,0.07643155,0.19490771,0.0,0.39352238,4.7045082e-06,0.0062145954,0.02208783,0.0273107
0.25506416,0.09332512,0.04689667,0.16363475,0.0,0.39775035,8.461323e-06,0.0075172763,0.035803158,0.042431943
0.28681213,0.05552192,0.042318188,0.06901281,0.0,0.5362002,5.016366e-06,0.0026373568,0.0074923052,0.055775113
0.2337598,0.039876316,0.083379455,0.24186966,0.0,0.38289925,1.2715317e-05,0.0069810445,0.01122171,0.047512725
0.24550007,0.085496254,0.026508044,0.07599968,0.0,0.5050925,7.1252484e-06,0.008170506,0.05322585,0.009634033
0.2281405,0.0844589,0.023017034,0.081519425,0.0,0.55967534,1.2489244e-05,0.0043693725,0.0188069,0.0664295
0.22196041,0.07202681,0.04362444,0.012011499,0.0,0.6129247,1.1887625e-05,0.011926402,0.02551388,0.06463916
0.19061731,0.06271066,0.08439976,0.23252395,0.0,0.38239452,6.0494167e-06,0.0066878535,0.04065991,-0.027705573
0.24023391,0.032044116,0.101984374,0.19378507,0.0,0.39923894,2.3139019e-06,0.008426416,0.02428487,0.056381665
0.25223747,0.1044293,0.07597632,0.005522021,0.0,0.5097982,1.3418232e-05,0.0066457917,0.045377526,0.05965046
0.30983096,0.065763324,0.018917395,0.17769508,0.0,0.39638093,1.5916867e-06,0.0060786707,0.025331976,0.04566531
0.2533966,0.064963214,0.029405812,0.12917474,0.0,0.48248422,1.6740771e-06,0.008089263,0.032484468,0.055889197
0.23035733,0.041126136,0.031116765,0.09000349,0.0,0.56891507,9.626993e-06,0.0053994204,0.033072166,0.06606377
0.21141116,0.073000096,0.07486499,0.18817024,0.0,0.40335774,4.039372e-06,0.007019931,0.042171802,-0.025793262
0.19992287,0.074815035,0.026263366,0.09921544,0.0,0.5599349,6.512125e-06,0.004937462,0.03490444,0.069690354
0.23840529,0.073193915,0.017883297,0.057415307,0.0,0.58406913,5.1469633e-06,0.0045577157,0.024470149,0.06468309
0.24691063,0.06574496,0.089214236,0.17870177,0.0,0.3917993,7.066414e-06,0.008207677,0.019414334,0.05499118
0.28269044,0.08490807,0.00064158964,0.034116395,0.0,0.5773842,6.659474e-06,0.004794639,0.015458048,0.06522376
0.18692145,0.08155783,0.08873064,0.19553481,0.0,0.4183725,8.3445475e-06,0.0068197376,0.022054736,0.042885035
